id,¸g«×,½n«×
CC6212D54,120.686515,24.194789
CC6212D55,120.655214,24.200103
CC6212D56,120.552539,23.924547
CC6212D58,120.623156,24.192778
CC6212D61,120.702333,24.237508
CC6212D62,120.72379,24.297898
CC6212D63,120.365052,23.895216
CC6212D67,120.691111,23.8848831
CC6212D69,120.466831,24.139504
CC6212D75,120.607519,24.127069
CC6212D76,120.508148,24.146558
CC6212D77,120.696257,23.762434
CC6212D78,120.549803,24.017523
CC6212D82,120.72251,24.301807
CC6212D85,120.456451,24.107
CC6212D86,120.582407,24.168185
CC6212D87,120.686343,24.205466
CC6212D89,120.67307,23.9562893
CC6212D91,120.604337,24.175122
CC6212D94,120.61542,24.412497
CC6212D99,120.574664,24.119709
CC6212E02,120.628193,24.162593
CC6212E03,120.527304,24.243409
CC6212E04,120.463629,23.827593
CC6212E05,120.675786,24.142167
CC6212E06,120.674386,24.115054
CC6212E07,120.618553,24.187968
CC6212E08,120.691268,24.232075
CC6212E10,120.688189,24.101197
CC6212E11,120.710278,23.79371
CC6212E14,120.37466,23.903195
CC6212E15,120.695543,24.313741
CC6212E16,120.6858,24.314902
CC6212E17,120.417817,23.954886
CC6212E19,120.480677,23.95268
CC6212E22,120.54218,24.095105
CC6212E24,120.632442,24.180275
CC6212E25,120.674254,23.927013
CC6212E27,120.702431,24.197304
CC6212E29,120.661108,24.340024
CC6212E30,120.662295,24.072636
CC6212E32,120.655873,24.087902
CC6212E33,120.490006,23.968774
CC6212E34,120.52672,24.223015
CC6212E36,120.533844,24.091687
CC6212E37,120.6763747,24.0047048
CC6212E39,120.499983,24.106481
CC6212E41,120.676615,24.154987
CC6212E42,120.6475845,24.0815983
CC6212E46,121.167738,24.06306
CC6212E47,120.773113,23.822906
CC6212E48,120.608722,24.116259
CC6212E53,120.632737,24.105942
CC6212E54,120.993308,23.979097
CC6212E55,120.540233,24.259906
CC6212E56,120.556793,24.212859
CC6212E58,120.630017,24.147042
CC6212E61,120.602143,24.310852
CC6212E63,120.58715,23.879922
CC6212E64,120.602873,23.833334
CC6212E65,120.524826,23.887113
CC6212E66,120.586329,23.955538
CC6212E67,120.659827,24.171638
CC6212E68,120.719721,24.179429
CC6212E70,120.531929,24.074228
CC6212E71,120.349731,23.894127
CC6212E72,120.481897,23.956864
CC6212E74,120.665042,23.849312
CC6212E75,120.694047,24.200818
CC6212E76,120.637093,24.234129
CC6212E78,120.662225,24.232694
CC6212E79,120.662423,24.055389
CC6212E80,120.648272,24.093284
CC6212E81,120.695613,24.053249
CC6212E83,120.965563,23.963411
CC6212E84,120.550141,24.28533
CC6212E85,120.649576,24.214268
CC6212E86,120.965585,23.974176
CC6212E88,120.717012,24.101853
CC6212E89,120.994295,23.979293
CC6212E90,121.012813,23.981547
CC6212E91,120.622764,24.145775
CC6212E92,120.52025,24.063354
CC6212E93,120.652816,24.117977
CC6212E94,120.537686,24.252808
CC6212E95,120.588201,23.98712
CC6212E96,120.621514,24.102064
CC6212E97,120.702902,24.238141
CC6212E98,120.625297,24.132362
CC6212E99,120.752402,23.74587
CC6212F01,120.689968,24.1319242
CC6212F02,120.6938084,24.1645968
CC6212F03,120.6938842,24.1714086
CC6212F04,120.671707,23.9243141
CC6212F05,120.5204965,24.0948665
